place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJQ7qoR5qOGGARP1kjx--f49E,suribitakosu,https://www.google.com/maps/place/%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%93%E3%83%BC%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188e9a47a8ba43:0xd1e39fefc723593f!8m2!3d35.7078216!4d139.7933885!16s%2Fg%2F11b7hj_58t!19sChIJQ7qoR5qOGGARP1kjx--f49E?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, huasuto hudoDian , mekishikoLiao Li Dian , resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4.3,333,@111-0042 Dong Jing Du Tai Dong Qu Shou 3Ding Mu 16-14 suribitakosu,35.7078216,139.7933885
ChIJf5dRBqyLGGARy8cttMc1N34,Bei Chu TACOS,https://www.google.com/maps/place/%E5%8C%97%E5%87%BATACOS/data=!4m7!3m6!1s0x60188bac0651977f:0x7e3735c7b42dc7cb!8m2!3d35.6821825!4d139.7669572!16s%2Fg%2F11jxqb7s3h!19sChIJf5dRBqyLGGARy8cttMc1N34?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.2,327,@100-0005 Dong Jing Du Qian Dai Tian Qu Wan noNei 1Ding Mu 9-1 JR Dong Jing Yi  guransuta B1F Bei Chu TACOS,35.6821825,139.7669572
ChIJOVz54l9cGGARRGINc6zgLVo,AFRO TACOS,https://www.google.com/maps/place/AFRO+TACOS/data=!4m7!3m6!1s0x60185c5fe2f95c39:0x5a2de0ac730d6244!8m2!3d35.4483446!4d139.6300609!16s%2Fg%2F11dybr2sty!19sChIJOVz54l9cGGARRGINc6zgLVo?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , amerikaLiao Li Dian , ba, niyu amerikanLiao Li Dian , tetsukusumetsukusuLiao Li Dian (amerika)",4,284,@231-0064 Shen Nai Chuan Xian Heng Bang Shi Zhong Qu Ye Mao Ting 2Ding Mu 72-2 AFRO TACOS,35.4483446,139.6300609
ChIJ57x8vZXlGGARy8E96fvodK8,Tacos Mercado,https://www.google.com/maps/place/Tacos+Mercado/data=!4m7!3m6!1s0x6018e595bd7cbce7:0xaf74e8fbe93dc1cb!8m2!3d35.7226128!4d139.5145049!16s%2Fg%2F11h0m18fbj!19sChIJ57x8vZXlGGARy8E96fvodK8?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.4,280,@187-0003 Dong Jing Du Xiao Ping Shi Hua Xiao Jin Jing Nan Ting 2Ding Mu 2-16 vuerudeHua Xiao Jin Jing  B1 Tacos Mercado,35.7226128,139.5145049
ChIJm341KpWLGGARfTpdP76u7vc,440BROADWAY Taco Shop | Tex Mex Burrito Taco Tokyo,https://www.google.com/maps/place/440BROADWAY+Taco+Shop+%7C+Tex+Mex+Burrito+Taco+Tokyo/data=!4m7!3m6!1s0x60188b952a357e9b:0xf7eeaebe3f5d3a7d!8m2!3d35.6470788!4d139.7162327!16s%2Fg%2F11fkqysc4k!19sChIJm341KpWLGGARfTpdP76u7vc?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), burito resutoran, mekishikoLiao Li Dian , takosu resutoran",4.5,278,@150-0013 Dong Jing Du Shibui Gu Qu Hui Bi Shou 1Ding Mu 25-3 rezidensapurimabeeraa201 440BROADWAY Taco Shop | Tex Mex Burrito Taco Tokyo,35.6470788,139.7162327
ChIJO7nXbEWLGGARnNlUXSCulNA,zesuto kiyanteina Dai Guan Shan ,https://www.google.com/maps/place/%E3%82%BC%E3%82%B9%E3%83%88+%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%83%8A+%E4%BB%A3%E5%AE%98%E5%B1%B1/data=!4m7!3m6!1s0x60188b456cd7b93b:0xd094ae205d54d99c!8m2!3d35.649754!4d139.702592!16s%2Fg%2F1yh9vkvrp!19sChIJO7nXbEWLGGARnNlUXSCulNA?authuser=0&hl=ja&rclk=1,ba&guriru,"ba&guriru, mekishikoLiao Li Dian , tetsukusumetsukusuLiao Li Dian (amerika)",4.2,249,"@150-0034 Dong Jing Du Shibui Gu Qu Dai Guan Shan Ting 16-2 1F, B1F Dai Guan Shan Ba Fan biru zesuto kiyanteina Dai Guan Shan ",35.649754,139.702592
ChIJPZVEwRbnAGARd7PYNTDBc24,mekishikoLiao Li ora takosuba Mexican Ola tacos-bar,https://www.google.com/maps/place/%E3%83%A1%E3%82%AD%E3%82%B7%E3%82%B3%E6%96%99%E7%90%86%E3%82%AA%E3%83%A9+%E3%82%BF%E3%82%B3%E3%82%B9%E3%83%90%E3%83%BC+Mexican+Ola+tacos-bar/data=!4m7!3m6!1s0x6000e716c144953d:0x6e73c13035d8b377!8m2!3d34.673471!4d135.503263!16s%2Fg%2F1tctfh9p!19sChIJPZVEwRbnAGARd7PYNTDBc24?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran",4.2,247,@542-0083 Da Ban Fu Da Ban Shi Zhong Yang Qu Dong Xin Zhai Qiao 1Ding Mu 17-1 Xin Zhai Qiao  kosumibiru 1F mekishikoLiao Li ora takosuba Mexican Ola tacos-bar,34.673471,135.503263
ChIJewwXpWqLGGARD2Oa2JLHfhE,ZONA ROSA(sonarotsusa),https://www.google.com/maps/place/ZONA+ROSA%EF%BC%88%E3%82%BD%E3%83%8A%E3%83%AD%E3%83%83%E3%82%B5%EF%BC%89/data=!4m7!3m6!1s0x60188b6aa5170c7b:0x117ec792d89a630f!8m2!3d35.6466513!4d139.7121634!16s%2Fg%2F1tcx1hzx!19sChIJewwXpWqLGGARD2Oa2JLHfhE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , modanJu Jiu Wu resutoran, takosu resutoran",3.9,241,@150-0013 Dong Jing Du Shibui Gu Qu Hui Bi Shou 1Ding Mu 12-5 B1F ZONA ROSA(sonarotsusa),35.6466513,139.7121634
ChIJ3Z8iJIWLGGARuE5HORAy8Fs,TACO RiCO ARK Hills takoritsuko akuhiruzuDian ,https://www.google.com/maps/place/TACO+RiCO+ARK+Hills+%E3%82%BF%E3%82%B3%E3%83%AA%E3%83%83%E3%82%B3+%E3%82%A2%E3%83%BC%E3%82%AF%E3%83%92%E3%83%AB%E3%82%BA%E5%BA%97/data=!4m7!3m6!1s0x60188b8524229fdd:0x5bf0321039474eb8!8m2!3d35.667199!4d139.739868!16s%2Fg%2F11bwgwf600!19sChIJ3Z8iJIWLGGARuE5HORAy8Fs?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, burito resutoran",4.1,234,@107-6002 Dong Jing Du Gang Qu Chi Ban 1Ding Mu 12-32 TACO RiCO ARK Hills takoritsuko akuhiruzuDian ,35.667199,139.739868
ChIJn3GO3YqOGGARo4kt_yr-Cqw,Sol Tokyo Mexican Food,https://www.google.com/maps/place/Sol+Tokyo+Mexican+Food/data=!4m7!3m6!1s0x60188e8add8e719f:0xac0afe2aff2d89a3!8m2!3d35.7312135!4d139.7920888!16s%2Fg%2F11b7rtvn__!19sChIJn3GO3YqOGGARo4kt_yr-Cqw?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.3,207,@116-0014 Dong Jing Du Huang Chuan Qu Dong Ri Mu Li 1Ding Mu 1-3 Sol Tokyo Mexican Food,35.7312135,139.7920888
ChIJ0WOJGfuNGGARQRwRrEQrOJo,La Cabina Shibuya,https://www.google.com/maps/place/La+Cabina+Shibuya/data=!4m7!3m6!1s0x60188dfb198963d1:0x9a382b44ac111c41!8m2!3d35.6621701!4d139.6957784!16s%2Fg%2F11fb2t3pnn!19sChIJ0WOJGfuNGGARQRwRrEQrOJo?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, mekishikoLiao Li Dian ",3.9,199,"La Cabina Shibuya, 37-10 Yu Tian Chuan Ting  Shibui Gu Qu  Dong Jing Du  150-0042",35.6621701,139.6957784
ChIJLz5DhhWLGGARqtEoVih86K4,mekishikandainingu otora Mexican Dining Otra,https://www.google.com/maps/place/%E3%83%A1%E3%82%AD%E3%82%B7%E3%82%AB%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0+%E3%82%AA%E3%83%88%E3%83%A9+Mexican+Dining+Otra/data=!4m7!3m6!1s0x60188b1586433e2f:0xaee87c285628d1aa!8m2!3d35.6431022!4d139.7117416!16s%2Fg%2F1tj2hwvt!19sChIJLz5DhhWLGGARqtEoVih86K4?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , biagaden, buranchi resutoran, komiyunitei gaden, modanJu Jiu Wu resutoran, resutoran, Qing Shi Dian , takosu resutoran",4.1,199,@150-0022 Dong Jing Du Shibui Gu Qu Hui Bi Shou Nan 1Ding Mu 23-8 amerikanburitsuzibiru 3F mekishikandainingu otora Mexican Dining Otra,35.6431022,139.7117416
