place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey,webpage
ChIJ0y3_b4eLGGAR6q6oerLsBDo,Oxomoco,https://www.google.com/maps/place/OXOMOCO+%28%E3%82%AA%E3%82%B7%E3%83%A7%E3%83%A2%E3%82%B3%29/data=!4m7!3m6!1s0x60188b876fff2dd3:0x3a04ecb27aa8aeea!8m2!3d35.6507676!4d139.7217754!16s%2Fg%2F11jhsydvhj!19sChIJ0y3_b4eLGGAR6q6oerLsBDo?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.5,91.0,〒150-0012 東京都渋谷区広尾５丁目４−１６ １F EAT PLAY WORKS,35.6507676,139.7217754,http://salt-group.jp/shop/oxomoco/
ChIJGam3Bl2LGGARZ_Eq6VFr9wU,KIYAS,https://www.google.com/maps/place/KIYAS/data=!4m7!3m6!1s0x60188b5d06b7a919:0x5f76b51e92af167!8m2!3d35.6458626!4d139.7171075!16s%2Fg%2F11f7r6y5kr!19sChIJGam3Bl2LGGARZ_Eq6VFr9wU?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.7,86.0,〒150-0013 東京都渋谷区恵比寿２丁目９−２,35.6458626,139.7171075,https://www.kiyas.jp/
ChIJx72IdqaLGGARe9KwiiDuQdQ,トリケラトプス 麻布店,https://www.google.com/maps/place/%E3%83%88%E3%83%AA%E3%82%B1%E3%83%A9%E3%83%88%E3%83%97%E3%82%B9+%E9%BA%BB%E5%B8%83%E5%BA%97/data=!4m7!3m6!1s0x60188ba67688bdc7:0xd441ee208ab0d27b!8m2!3d35.6482112!4d139.7369655!16s%2Fg%2F11f55pn45b!19sChIJx72IdqaLGGARe9KwiiDuQdQ?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),tetsukusumetsukusuLiao Li Dian (amerika),4.1,86.0,〒106-0047 東京都港区南麻布２丁目７−３１,35.6482112,139.7369655,http://triceratops.tokyo/
ChIJY8mKAeiLGGAR2tth7KRqlvE,TACO RiCO Azabu-juban タコリッコ麻布十番店,https://www.google.com/maps/place/TACO+RiCO+Azabu-juban+%E3%82%BF%E3%82%B3%E3%83%AA%E3%83%83%E3%82%B3%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%E5%BA%97/data=!4m7!3m6!1s0x60188be8018ac963:0xf1966aa4ec61dbda!8m2!3d35.656642!4d139.733569!16s%2Fg%2F11qbbqkfnt!19sChIJY8mKAeiLGGAR2tth7KRqlvE?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.2,76.0,,35.656642,139.733569,https://tacorico.jp/menu.html
ChIJpxLo5cb9GGARqrFzOFF9b_Q,TACOS GRACIOSO,https://www.google.com/maps/place/TACOS+GRACIOSO/data=!4m7!3m6!1s0x6018fdc6e5e812a7:0xf46f7d513873b1aa!8m2!3d35.5781674!4d139.3750442!16s%2Fg%2F11rz3nrh00!19sChIJpxLo5cb9GGARqrFzOFF9b_Q?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , Qing Shi Dian ",4.8,76.0,〒252-0231 神奈川県相模原市中央区相模原４丁目６−１０ 1階,35.5781674,139.3750442,https://www.instagram.com/tacos.gracioso_sagamihara
ChIJ-XkT-9CNGGARZEll0RjhAgQ,クロニックタコス,https://www.google.com/maps/place/%E3%82%AF%E3%83%AD%E3%83%8B%E3%83%83%E3%82%AF%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188dd0fb1379f9:0x402e118d1654964!8m2!3d35.6874568!4d139.6995889!16s%2Fg%2F11h0367f5r!19sChIJ-XkT-9CNGGARZEll0RjhAgQ?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,2.8,75.0,〒151-0053 東京都渋谷区代々木２丁目７−２,35.6874568,139.6995889,https://foodhall-blast.jp/reservation/
ChIJF4F0IYv1GGARVAnl7d0kL0c,TACOS Shop IKEJIRI,https://www.google.com/maps/place/TACOS+Shop+IKEJIRI/data=!4m7!3m6!1s0x6018f58b21748117:0x472f24ddede50954!8m2!3d35.6497135!4d139.6831921!16s%2Fg%2F11lkhcw9sw!19sChIJF4F0IYv1GGARVAnl7d0kL0c?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,4.0,72.0,〒154-0001 東京都世田谷区池尻２丁目３１−１７,35.6497135,139.6831921,https://www.instagram.com/tacosshop_ikejiri/
ChIJO8X7eceJGGARGSURRmKlDq8,Kitade Tacos COMMISSARY,https://www.google.com/maps/place/Kitade+Tacos+COMMISSARY/data=!4m7!3m6!1s0x601889c779fbc53b:0xaf0ea56246112519!8m2!3d35.6890585!4d139.7774361!16s%2Fg%2F11kzggvmmh!19sChIJO8X7eceJGGARGSURRmKlDq8?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.3,71.0,〒103-0023 東京都中央区日本橋本町３丁目１１−５,35.6890585,139.7774361,https://www.kitadeshokudo.com/
ChIJd0GDVduMGGARhrgOCrDB_cc,Rainbow Burritos Doumo,https://www.google.com/maps/place/Rainbow+Burritos+Doumo/data=!4m7!3m6!1s0x60188cdb55834177:0xc7fdc1b00a0eb886!8m2!3d35.6898125!4d139.7064103!16s%2Fg%2F11bw1z_sp0!19sChIJd0GDVduMGGARhrgOCrDB_cc?authuser=0&hl=ja&rclk=1,burito resutoran,burito resutoran,4.1,69.0,〒160-0022 東京都新宿区新宿３丁目１−３２ 新宿ビル 303,35.6898125,139.7064103,https://twitter.com/DOUMO811
ChIJnVQbC7CLGGAR0gXUhTm7Nrw,タコリッコ東京ミッドタウン店,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%AA%E3%83%83%E3%82%B3%E6%9D%B1%E4%BA%AC%E3%83%9F%E3%83%83%E3%83%89%E3%82%BF%E3%82%A6%E3%83%B3%E5%BA%97/data=!4m7!3m6!1s0x60188bb00b1b549d:0xbc36bb3985d405d2!8m2!3d35.6656469!4d139.7306928!16s%2Fg%2F11pq2bbh_9!19sChIJnVQbC7CLGGAR0gXUhTm7Nrw?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,3.9,65.0,〒107-0052 東京都港区赤坂９丁目７−３ 東京ミッドタウン ガレリア B1F,35.6656469,139.7306928,https://tacorico.jp/
