place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJpXCo7kmLGGARgTgfdgDklD0,miyoshiWu ,https://www.google.com/maps/place/%E3%81%BF%E3%82%88%E3%81%97%E5%B1%8B/data=!4m7!3m6!1s0x60188b49eea870a5:0x3d94e400761f3881!8m2!3d35.6064187!4d139.7085578!16s%2Fg%2F11kk7ldm33!19sChIJpXCo7kmLGGARgTgfdgDklD0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.3,35,@142-0054 Dong Jing Du Pin Chuan Qu Xi Zhong Yan 3Ding Mu 15-7 miyoshiya miyoshiWu ,35.6064187,139.7085578
ChIJGZX7G8rzGGARMVtLwqX_u3c,Peltre y Barro perutoureibaro,https://www.google.com/maps/place/Peltre+y+Barro+%E3%83%9A%E3%83%AB%E3%83%88%E3%82%A5%E3%83%AC%E3%82%A4%E3%83%90%E3%83%BC%E3%83%AD/data=!4m7!3m6!1s0x6018f3ca1bfb9519:0x77bbffa5c24b5b31!8m2!3d35.6542719!4d139.6614876!16s%2Fg%2F11hdz70qqz!19sChIJGZX7G8rzGGARMVtLwqX_u3c?authuser=0&hl=ja&rclk=1,resutoran,"resutoran, mekishikoLiao Li Dian ",4.7,34,@155-0033 Dong Jing Du Shi Tian Gu Qu Dai Tian 1Ding Mu 40-1 Peltre y Barro perutoureibaro,35.6542719,139.6614876
ChIJmfuVJiuLGGAR1g4nyKpZRTc,440 Broadway Taco Truck,https://www.google.com/maps/place/440+Broadway+Taco+Truck/data=!4m7!3m6!1s0x60188b2b2695fb99:0x374559aac8270ed6!8m2!3d35.6512988!4d139.7240127!16s%2Fg%2F11g0tsnzsz!19sChIJmfuVJiuLGGAR1g4nyKpZRTc?authuser=0&hl=ja&rclk=1,huasuto hudoDian ,huasuto hudoDian ,4.9,32,"440 Broadway Taco Truck, nashiyonaruMa Bu supamaketsuto 3Jie  4Ding Mu -5-2 Nan Ma Bu  Gang Qu  Dong Jing Du  106-0047",35.6512988,139.7240127
ChIJ20fZjJn1GGARKibZTyvLl48,Locano's,https://www.google.com/maps/place/Locano%27s/data=!4m7!3m6!1s0x6018f5998cd947db:0x8f97cb2b4fd9262a!8m2!3d35.5733791!4d139.6583262!16s%2Fg%2F11r2r3bt1c!19sChIJ20fZjJn1GGARKibZTyvLl48?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.5,28,@211-0016 Shen Nai Chuan Xian Chuan Qi Shi Zhong Yuan Qu Xiao Shan Ting 3Ding Mu 442-3 Locano's,35.5733791,139.6583262
ChIJb7qsUqdBGGARcjfPXEN-QuA,GRAN AZTECAS YOKOSUKA,https://www.google.com/maps/place/GRAN+AZTECAS+YOKOSUKA/data=!4m7!3m6!1s0x601841a752acba6f:0xe0427e435ccf3772!8m2!3d35.2807358!4d139.6689259!16s%2Fg%2F11frjj2m3b!19sChIJb7qsUqdBGGARcjfPXEN-QuA?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,3.8,28,"GRAN AZTECAS YOKOSUKA, darumaBen Dian biru, 2F, 2Ding Mu -22 Da Long Ting  Heng Xu He Shi  Shen Nai Chuan Xian  238-0008",35.2807358,139.6689259
ChIJk5STEeX1GGARbrPCUXyvq0o,PACO(pako),https://www.google.com/maps/place/PACO%EF%BC%88%E3%83%91%E3%82%B3%EF%BC%89/data=!4m7!3m6!1s0x6018f5e511939493:0x4aabaf7c51c2b36e!8m2!3d35.6320451!4d139.6866926!16s%2Fg%2F11sm_s_fp8!19sChIJk5STEeX1GGARbrPCUXyvq0o?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, ba",4.4,27,@152-0001 Dong Jing Du Mu Hei Qu Zhong Yang Ting 2Ding Mu 36-10 kasasanburano 1F PACO(pako),35.6320451,139.6866926
ChIJ31n71emJGGARcWfnqm3pOrQ,kitade tacos & sake,https://www.google.com/maps/place/kitade+tacos+%26+sake/data=!4m7!3m6!1s0x601889e9d5fb59df:0xb43ae96daae76771!8m2!3d35.6860767!4d139.7822022!16s%2Fg%2F11sw11htq5!19sChIJ31n71emJGGARcWfnqm3pOrQ?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,3.8,27,@103-0013 Dong Jing Du Zhong Yang Qu Ri Ben Qiao Ren Xing Ting 1Ding Mu 19-5 emuzukurosuRen Xing Ting  2F 204 kitade tacos & sake,35.6860767,139.7822022
ChIJWWUL3FFdGGAR0MicS3m_1a0,CHAPMAN TACOS,https://www.google.com/maps/place/CHAPMAN+TACOS/data=!4m7!3m6!1s0x60185d51dc0b6559:0xadd5bf794b9cc8d0!8m2!3d35.4394706!4d139.6251567!16s%2Fg%2F11kq6shx87!19sChIJWWUL3FFdGGAR0MicS3m_1a0?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.8,26,@231-0055 Shen Nai Chuan Xian Heng Bang Shi Zhong Qu Mo Ji Ting 3Ding Mu 58-5 CHAPMAN TACOS,35.4394706,139.6251567
ChIJJ3iTuCCLGGARvhAv12AG4fI,maison tacos,https://www.google.com/maps/place/maison+tacos/data=!4m7!3m6!1s0x60188b20b8937827:0xf2e10660d72f10be!8m2!3d35.6534559!4d139.6988222!16s%2Fg%2F11l76r4f8h!19sChIJJ3iTuCCLGGARvhAv12AG4fI?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.9,23,@150-0035 Dong Jing Du Shibui Gu Qu Bo Shan Ting 1-7 maison tacos,35.6534559,139.6988222
ChIJxa2-GgCLGGARv1gBLhtBSAU,kitadetakosu,https://www.google.com/maps/place/%E3%82%AD%E3%82%BF%E3%83%87%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188b001abeadc5:0x548411b2e0158bf!8m2!3d35.6224298!4d139.721973!16s%2Fg%2F11vz7c6ylg!19sChIJxa2-GgCLGGARv1gBLhtBSAU?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,3.7,22,@141-0031 Dong Jing Du Pin Chuan Qu Xi Wu Fan Tian 8Ding Mu 4-13 kitadetakosu,35.6224298,139.721973
